company_code,volume,,
AFDIS,12,,
AFRICAN SUN,3,,
ART ZDR,2,,
ARISTON,0,,
AXIA,7,,
BAT,0,,
CAFCA,0,,
CBZ,2,,
CFI,4,,
DAIRIBORD,0,,
DELTA,5,,
ECOCASH,0,,
ECONET,0,,
EDGARS,0,,
FBCH,0,,
FIDELITY,0,,
FCA/BARCLAYS,12,,
(fml)/AFRE,15,,
FMP,0,,
GB HOLDINGS,0,,
GET BUCKS,0,,
HIPPO,2,,
INNSCOR,38,,
LAFARGE CEMENT,4.874693008278330,,
MASH  HLDS,0,,
MASIMBA,0,,
MEDTECH,0,,
MEDTECH CLASS B,4,,
MEIK,5,,
NAMPAK,5,,
NATFOODS,5,,
N T S,9,,
N.M.B,0,,
OK ZIMBABWE,0,,
PROPLASTICS,0,,
R T G,0,,
RIOZIM,5,,
SEED-CO,5,,
SIMBISA,5,,
STAR AFRICA,5,,
TANGANDA,5,,
TRUWORTHS,0,,
T. S. L,5,,
TURNALL,5,,
UNIFREIGHT,3,,
WILLDALE,0,,
ZBFH,0,,
ZECO,3,,
ZIMPAPERS,3,,
ZIMPLOW,0,,
ZIMRE,5,,